id_usuario,fecha_encuesta,edad,profesion,ingresos,gastos,emprendimiento,tipo_emprendimiento,casa,automovil,productos_financieros,ingresos_mensuales,objetivo_financiero,conocimiento_financiero,frecuencia_transacciones
3146,2024-10-12 15:20:42,66+,Empresario,"Freelance, Otro","Servicios básicos, Mascotas, Alimentación",Sí,Otro,"Sí, con hipoteca","Sí, financiado","Depósito a plazo fijo, Cuenta corriente","$5,000 - $7,999",Iniciar negocio,Experto,Nunca
3453,2024-10-12 15:20:42,26-35,Independiente,Otro,"Alimentación, Vivienda",No,,"Sí, totalmente pagada","Sí, totalmente pagado","Seguro de automóvil, Tarjeta de crédito, Préstamo personal, Préstamo hipotecario, Cuenta corriente","$3,000 - $4,999",Otro,Intermedio,Semanalmente
2986,2024-10-12 15:20:42,26-35,Empleado tiempo parcial,"Salario fijo, Negocios propios","Ahorro, Transporte, Alimentación",Sí,Comercio minorista,"Sí, totalmente pagada","Sí, totalmente pagado","Ninguno, Línea de crédito, Fondo de inversión, Crédito para negocio, Préstamo personal","$5,000 - $7,999",Ahorrar para educación,Experto,Raramente
3602,2024-10-12 15:20:42,66+,Otro,Dividendos,Transporte,Sí,Tecnología,No,"Sí, totalmente pagado","Préstamo personal, Cuenta de ahorros","Menos de $1,000",Pagar deudas,Avanzado,Nunca
2175,2024-10-12 15:20:42,26-35,Independiente,Otro,"Vivienda, Entretenimiento, Alimentación",No,,"Sí, heredada",No,"Tarjeta de crédito, Préstamo hipotecario, Seguro de automóvil","$3,000 - $4,999",Comprar propiedad,Intermedio,Raramente
9721,2024-10-12 15:20:42,36-45,Empleado tiempo parcial,"Intereses, Dividendos",Transporte,No,,"Sí, heredada","Sí, totalmente pagado","Seguro de automóvil, Fondo de inversión","$5,000 - $7,999",Pagar deudas,Experto,Diariamente
7073,2024-10-12 15:20:42,56-65,Estudiante,"Comisiones, Rentas, Salario fijo",Educación,Sí,Construcción,"Sí, heredada","Sí, financiado","Cuenta corriente, Crédito para negocio, Préstamo personal","$12,000 o más",Comprar propiedad,Experto,Diariamente
5497,2024-10-12 15:20:42,36-45,Desempleado,Pensiones,"Ropa, Entretenimiento",No,,"Sí, heredada","Sí, totalmente pagado","Seguro de automóvil, Cuenta de ahorro para el retiro","$3,000 - $4,999",Iniciar negocio,Principiante,Nunca
7476,2024-10-12 15:20:42,36-45,Empleado tiempo parcial,Intereses,"Mantenimiento hogar, Entretenimiento, Vivienda",Sí,Turismo,"Sí, totalmente pagada","Sí, totalmente pagado",Depósito a plazo fijo,"$1,000 - $2,999",Comprar propiedad,Principiante,Nunca
8932,2024-10-12 15:20:42,26-35,Independiente,"Salario fijo, Freelance, Intereses",Salud,No,,No,"Sí, financiado",Ninguno,"$8,000 - $11,999",Ahorrar para educación,Intermedio,Diariamente
